Asset,Area,Equipment,RCA_ID,Failure_Event,Impact,Downtime,Root_Cause,Action,Action_Status
Mine A,Processing Plant,Crusher 1,RCA 1,"At 1831H on the 30th October, 2025,Equipment 1 started to trip on high torque. It continued to experienced multiple tripping until 2100H on the 2nd November. Among them, longest downtime was 32.12 hours.",1000000,32,Misalignment,Implement routine maintenance,Completed
Mine A,Processing Plant,Crusher 1,RCA 1,"At 1831H on the 30th October, 2025,Equipment 1 started to trip on high torque. It continued to experienced multiple tripping until 2100H on the 2nd November. Among them, longest downtime was 32.12 hours.",1000000,32,Overloading,Implement interlock to prevent overloading,Completed
Mine A,Processing Plant,Crusher 1,RCA 2,"At 0645H on 15th March, 2025, Crusher 1 experienced catastrophic bearing failure during routine operation. Metal fragments were detected in the oil sample analysis conducted on 10th March. The bearing completely seized causing emergency shutdown. Secondary damage occurred to the drive motor requiring replacement.",2500000,96,Inadequate lubrication schedule,Replace bearing monitoring system and implement predictive maintenance program,In Progress
Mine A,Tailings Dam,Pump Station 2,RCA 3,"On 22nd February, 2025 at 1420H, Pump Station 2 experienced sudden pressure drop during tailings transfer operation. Investigation revealed multiple valve seal failures in Valve Assembly 5, causing significant slurry leakage. Environmental monitoring was immediately activated.",850000,48,Valve seal degradation due to corrosive environment,Install corrosion-resistant valve seals and implement enhanced chemical monitoring,Completed
Mine A,Underground Operations,Ventilation Fan 4,RCA 4,"At 0230H on 8th April, 2025, Ventilation Fan 4 shut down unexpectedly during night shift operations. Blade imbalance was detected by vibration monitoring system. Investigation found two fan blades had cracked due to metal fatigue, creating dangerous vibration levels.",650000,72,Metal fatigue from cyclic loading,Implement non-destructive testing schedule and replace fan blades with upgraded material,In Progress
Mine A,Haul Road,Dump Truck 15,RCA 5,"On 1st May, 2025 at 1115H, Dump Truck 15 experienced hydraulic system failure during loading operation. Hydraulic fluid contamination was identified through analysis. The contamination caused pump seal failure and subsequent loss of hydraulic pressure for the dump bed mechanism.",320000,18,Hydraulic fluid contamination,Install improved filtration system and establish fluid quality monitoring protocol,Completed
Mine B,Water Treatment,Generator 3,RCA 6,"At 1630H on 10th June, 2025, Generator 3 automatically shut down due to overheating during peak power demand period. Cooling system inspection revealed blocked radiator fins and reduced coolant flow. The blockage was caused by accumulated dust and debris from nearby crushing operations.",1200000,24,Inadequate cooling system maintenance,Modify air intake filtration and increase radiator cleaning frequency,In Progress
Mine B,Rail Loading,Belt Conveyor 8,RCA 7,"On 25th July, 2025 at 0915H, Belt Conveyor 8 experienced drive motor failure during material transport. Gearbox oil analysis showed excessive metal particles indicating gear wear. The failure occurred during a period of increased throughput requirements exceeding design capacity.",480000,36,Operational overload beyond design limits,Implement load monitoring system and establish operational capacity limits,Completed
Mine B,Processing Plant,Jaw Crusher 2,RCA 8,"On 3rd September, 2025 at 1050H, Jaw Crusher 2 experienced toggle plate failure during processing of oversized material. The hydraulic system pressure spiked beyond safety limits causing mechanical damage. Material feed size exceeded crusher specifications due to inadequate pre-screening.",1800000,84,Inadequate feed size control,Install automated feed size monitoring and implement pre-screening improvements,In Progress
Mine B,Rail Loading,Wagon Loader 1,RCA 9,"At 0730H on 20th October, 2025, Wagon Loader 1 chute system malfunctioned during train loading operations. Position sensors failed to detect wagon alignment, causing material spillage and track contamination. Sensor calibration had drifted due to environmental exposure and vibration.",420000,15,Sensor calibration drift,Upgrade to vibration-resistant sensors and implement automated calibration system,Completed
Mine A,Underground Operations,Loader 6,RCA 10,"At 1010H on 12th May, 2025, Loader 6 experienced control system malfunction. Maintenance records showed missing preventive maintenance. Inspection revealed misalignment.",2950559,118,Material blockage,Install blockage detection and automatic clearing system,Completed
Mine A,Haul Road,Grader 6,RCA 11,"At 1216H on 12th January, 2025, Grader 6 experienced vibration levels exceeding safety limits. Operating conditions indicated unstable operation. Investigation found procedural non-compliance.",218459,80,Operator error,Implement automated control system with operator override protection,Completed
Mine A,Haul Road,Grader 6,RCA 11,"At 1216H on 12th January, 2025, Grader 6 experienced vibration levels exceeding safety limits. Operating conditions indicated unstable operation. Investigation found procedural non-compliance.",218459,80,Inadequate training,Enhance operator training program with simulation exercises,In Progress
Mine A,Haul Road,Dozer 15,RCA 12,"At 2125H on 30th July, 2025, Dozer 15 suffered seal failure causing fluid leakage. Maintenance records showed inadequate lubrication. Inspection revealed structural deformation.",1198217,27,Improper tensioning,Implement tension monitoring system with automatic adjustment,In Progress
